,ic,abs_ic,p_value,n_obs,significant
sma_10,0.06701955290043325,0.06701955290043325,0.010770705119497452,1447,True
volatility_50,-0.06615955261992727,0.06615955261992727,0.013091329759819342,1406,True
distance_to_sma_5,0.06465539204981133,0.06465539204981133,0.013733552993963179,1452,True
price_to_sma_5,0.06465539204981133,0.06465539204981133,0.013733552993963179,1452,True
sma_5,0.06451987120282471,0.06451987120282471,0.013933149664515457,1452,True
distance_to_sma_10,0.06394097603965627,0.06394097603965627,0.01498806297703621,1447,True
price_to_sma_10,0.06394097603965627,0.06394097603965627,0.01498806297703621,1447,True
momentum_10,0.06327380368317974,0.06327380368317974,0.016110622472849445,1446,True
log_momentum_10,0.06327380368317974,0.06327380368317974,0.016110622472849445,1446,True
price,0.0612609740237474,0.0612609740237474,0.019399804010211606,1456,True
log_price,0.0612609740237474,0.0612609740237474,0.019399804010211606,1456,True
sma_20,0.05641861301490726,0.05641861301490726,0.03247238535282582,1437,True
rsi_14,0.05599976424008912,0.05599976424008912,0.03341344960224265,1443,True
distance_to_sma_20,0.0553635334026599,0.0553635334026599,0.03586170253667049,1437,True
price_to_sma_20,0.0553635334026599,0.0553635334026599,0.03586170253667049,1437,True
log_momentum_5,0.052104489018000175,0.052104489018000175,0.04721111304034839,1451,True
momentum_5,0.052104489018000175,0.052104489018000175,0.04721111304034839,1451,True
sma_50,0.04452295902119154,0.04452295902119154,0.09503820062973208,1407,False
rsi_20,0.03827215358426316,0.03827215358426316,0.14703586896835205,1437,False
volume_to_sma_10,0.032411088177747426,0.032411088177747426,0.2178899543380088,1447,False
log_momentum_20,0.028397736323285523,0.028397736323285523,0.28219552245065044,1436,False
momentum_20,0.028397736323285523,0.028397736323285523,0.28219552245065044,1436,False
volatility_20,-0.0223953421737491,0.0223953421737491,0.3964214616422651,1436,False
volume_momentum_10,0.02146026462654783,0.02146026462654783,0.41481890130091315,1446,False
volume_to_sma_5,0.020076120678358594,0.020076120678358594,0.4446163127987046,1452,False
volume_to_sma_20,0.01854577612727937,0.01854577612727937,0.48238119183800154,1437,False
volatility_10,-0.01632947667305573,0.01632947667305573,0.5349588911285122,1446,False
hl_ratio,0.015253400237727586,0.015253400237727586,0.5608586407758778,1456,False
hl_volatility,0.015231158471399326,0.015231158471399326,0.5614301932791468,1456,False
volume_momentum_5,0.013612321884122326,0.013612321884122326,0.6043901636755428,1451,False
pv_trend,-0.007178631197208296,0.007178631197208296,0.7857774188240719,1436,False
distance_to_sma_50,-0.006689505241154888,0.006689505241154888,0.8020436464755419,1407,False
price_to_sma_50,-0.006689505241154888,0.006689505241154888,0.8020436464755419,1407,False
volatility_5,-0.0035199002898719228,0.0035199002898719228,0.8934303433769789,1451,False
volume_momentum_50,-0.0032715362384678286,0.0032715362384678286,0.9024532139906629,1406,False
momentum_50,-0.0018418488616664247,0.0018418488616664247,0.9449881664111481,1406,False
log_momentum_50,-0.0018418488616664247,0.0018418488616664247,0.9449881664111481,1406,False
volume_to_sma_50,-0.0018046325980340123,0.0018046325980340123,0.9460788533019251,1407,False
volume_momentum_20,-0.0017666999163796296,0.0017666999163796296,0.9466691767842179,1436,False
